ENST00000536784 ENST00000541505 ENST00000227880 ENST00000544101 ENST00000543406 	ENST00000540112 	396 1747 2055 493 4526 	1902 	396 1747 2055 493 4526 	1902 	53 53 53 53 53 	53 
ENST00000449131 	ENST00000517577 ENST00000492727 	3743 	222 219 	3743 	222 219 	52 	53 53 
ENST00000584259 ENST00000383578 ENST00000319815 	ENST00000296503 	3673 1521 2137 	652 	3673 1521 2137 	652 	53 53 53 	53 
ENST00000603274 	ENST00000435618 ENST00000481283 ENST00000489762 ENST00000430299 ENST00000421349 ENST00000498484 ENST00000463832 ENST00000445610 	40 	292 207 226 320 276 207 226 238 	40 	292 207 226 320 276 207 226 238 	52 	53 53 53 53 53 53 53 53 
ENST00000568313 	ENST00000567173 ENST00000563505 ENST00000566181 	617 	597 648 321 	618 	597 648 321 	51 	53 53 53 
ENST00000292478 	ENST00000298249 ENST00000373758 	4823 	2697 2697 	4823 	2697 2697 	52 	51 51 
ENST00000395148 	ENST00000435838 	3068 	424 	3068 	424 	53 	53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4147 	76 78 	4147 	76 78 	53 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 	307 238 	236 	307 238 	236 	53 53 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3414 	829 362 385 380 386 387 385 362 	3414 	829 362 385 380 386 387 385 362 	53 	53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	98 96 238 	3744 	98 96 238 	53 	53 53 53 
ENST00000592379 	ENST00000582736 	32 	125 	32 	125 	53 	53 
ENST00000449131 	ENST00000492727 	4177 	73 	4177 	73 	53 	52 
ENST00000261783 ENST00000557319 	ENST00000554659 	822 316 	5261 	823 317 	5262 	51 51 	52 
ENST00000592379 	ENST00000475608 	158 	20 	158 	20 	51 	52 
ENST00000534030 	ENST00000526693 ENST00000530320 	405 	673 568 	405 	673 568 	51 	52 52 
ENST00000430238 ENST00000425177 ENST00000452949 ENST00000416324 ENST00000419996 ENST00000400157 ENST00000426401 ENST00000439902 ENST00000440956 ENST00000443975 ENST00000425856 ENST00000422771 ENST00000375918 ENST00000375920 	ENST00000436569 ENST00000433726 ENST00000425568 ENST00000444557 ENST00000418840 ENST00000421991 ENST00000415170 ENST00000446133 ENST00000451042 ENST00000424221 ENST00000438641 ENST00000448278 ENST00000437771 	24 24 24 23 24 23 24 23 24 23 24 23 24 23 	72 39 72 39 72 39 72 39 72 39 72 39 72 	24 24 24 23 24 23 24 23 24 23 24 23 24 23 	72 39 72 39 72 39 72 39 72 39 72 39 72 	53 53 53 53 53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000552429 ENST00000585339 ENST00000591124 ENST00000366429 ENST00000451634 	ENST00000463515 	398 42 51 1212 1103 	314 	412 56 65 1226 1117 	324 	31 31 31 31 31 	34 
ENST00000592702 	ENST00000542515 ENST00000377424 ENST00000434254 	23 	1576 3223 181 	39 	1576 3223 181 	32 	41 41 41 
ENST00000339844 	ENST00000250405 ENST00000557236 ENST00000557579 ENST00000556599 ENST00000556100 	60 	592 547 527 190 504 	61 	592 547 527 190 504 	51 	34 34 34 34 34 
ENST00000418543 ENST00000548381 ENST00000425834 ENST00000242796 	ENST00000601537 	1378 1347 718 1117 	1077 	1378 1347 718 1117 	1077 	50 50 50 50 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1106 1123 	294 	1106 1123 	294 	53 53 	53 
ENST00000508814 ENST00000514253 	ENST00000302503 	276 207 	2172 	276 207 	2172 	53 53 	53 
ENST00000379565 	ENST00000463879 ENST00000476808 	3917 	2881 1935 	3917 	2881 1935 	53 	36 36 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4143 	112 110 312 112 112 	4143 	112 110 312 112 112 	53 	53 53 53 53 53 
ENST00000361681 	ENST00000361567 	448 	1729 	448 	1729 	52 	52 
ENST00000514253 	ENST00000511844 	495 	50 	495 	50 	53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	365 	77 20 	365 	77 20 	53 	52 52 
ENST00000361567 ENST00000511037 	ENST00000361681 	1761 1761 	478 	1761 1761 	478 	51 51 	47 
ENST00000370380 ENST00000313598 	ENST00000353047 ENST00000434271 	285 1905 	3107 3091 	285 1905 	3107 3091 	32 32 	53 53 
ENST00000592379 	ENST00000475608 	70 	6 	71 	6 	50 	52 
ENST00000366582 	ENST00000297268 ENST00000481570 ENST00000464916 	6957 	4225 4535 802 	6957 	4225 4535 802 	53 	53 53 53 
ENST00000459812 ENST00000468814 ENST00000493809 ENST00000480383 ENST00000476214 ENST00000422437 ENST00000483565 	ENST00000477154 ENST00000476469 ENST00000475368 ENST00000475878 ENST00000469628 ENST00000476663 ENST00000469621 	2475 2475 2475 2475 2472 2475 2475 	686 686 686 686 686 686 686 	2475 2475 2475 2475 2472 2475 2475 	686 686 686 686 686 686 686 	52 52 52 52 52 52 52 	52 52 52 52 52 52 52 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3753 	213 95 93 235 213 	3753 	213 95 93 235 213 	52 	51 51 51 51 51 
ENST00000451608 	ENST00000409601 	4847 	575 	4847 	575 	53 	52 
ENST00000400911 ENST00000361716 	ENST00000545700 ENST00000543567 ENST00000544289 	1005 3386 	1608 1478 473 	1005 3386 	1608 1478 473 	53 53 	52 52 52 
ENST00000508814 	ENST00000510210 ENST00000512493 	292 	248 258 	292 	248 258 	53 	53 53 
ENST00000590045 	ENST00000411744 	2595 	1942 	2595 	1942 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	107 105 247 	3744 	107 105 247 	53 	53 53 53 
ENST00000522663 ENST00000403396 	ENST00000514093 ENST00000510187 ENST00000466342 	1498 1498 	787 715 398 	1498 1498 	787 715 398 	53 53 	53 53 53 
ENST00000476487 	ENST00000506339 ENST00000355836 ENST00000514633 ENST00000515193 ENST00000506259 ENST00000504898 	2059 	1543 1411 1403 1391 1476 1594 	2059 	1543 1411 1403 1391 1476 1594 	53 	53 53 53 53 53 53 
ENST00000573583 	ENST00000494946 ENST00000572954 	189 	335 196 	189 	335 196 	53 	53 53 
ENST00000377627 	ENST00000542246 ENST00000377573 	1724 	1756 1693 	1738 	1756 1693 	38 	52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3482 	790 323 341 174 207 205 546 346 378 346 323 	3482 	790 323 341 174 207 205 546 346 378 346 323 	52 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000265044 ENST00000590851 ENST00000354308 	ENST00000548553 ENST00000332160 ENST00000398658 	3378 2525 2722 	3003 2310 460 	3378 2525 2722 	3003 2310 460 	36 36 36 	52 52 52 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	294 	1116 1133 	294 	53 53 	53 
ENST00000407045 	ENST00000296674 	33 	3230 	33 	3230 	34 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3369 	788 321 339 172 205 203 344 344 376 344 321 	3369 	788 321 339 172 205 203 344 344 376 344 321 	53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3477 	789 322 340 173 206 204 345 545 345 377 345 322 	3477 	789 322 340 173 206 204 345 545 345 377 345 322 	53 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000540225 ENST00000256594 	ENST00000264896 	2305 2223 	3754 	2305 2223 	3754 	53 53 	53 
ENST00000361866 	ENST00000263967 	1346 	1245 	1346 	1245 	51 	53 
ENST00000570780 ENST00000391950 	ENST00000441206 	1091 1108 	259 	1091 1108 	259 	50 50 	53 
ENST00000592540 ENST00000591396 	ENST00000572659 ENST00000310045 	1753 699 	8906 8906 	1756 702 	8906 8906 	35 35 	51 51 
ENST00000514253 	ENST00000510019 ENST00000511844 	444 	130 89 	444 	130 89 	53 	52 52 
ENST00000518341 ENST00000474629 ENST00000460683 ENST00000532572 ENST00000554597 ENST00000556696 	ENST00000517720 	186 6593 7115 3855 310 339 	165 	186 6593 7115 3855 310 339 	165 	52 52 52 52 52 52 	34 
ENST00000570780 ENST00000391950 	ENST00000520547 	1106 1123 	278 	1106 1123 	278 	53 53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3769 	97 95 237 	3770 	97 95 237 	52 	53 53 53 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1947 2079 2526 	336 	1947 2079 2526 	336 	52 52 52 	53 
ENST00000425015 	ENST00000591724 	2055 	25 	2055 	25 	53 	53 
ENST00000327473 ENST00000536716 	ENST00000262947 ENST00000599630 ENST00000596031 	3560 3591 	251 243 92 	3560 3591 	251 243 92 	31 31 	53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3482 	798 331 349 215 213 554 354 386 354 331 	3482 	798 331 349 215 213 554 354 386 354 331 	52 	53 53 53 53 53 53 53 53 53 53 
ENST00000475268 ENST00000495368 	ENST00000378940 ENST00000378927 ENST00000498825 	1336 1464 	548 501 118 	1337 1465 	548 501 118 	52 52 	53 53 53 
ENST00000592379 	ENST00000582736 	16 	134 	16 	134 	53 	53 
ENST00000229390 	ENST00000551765 	1157 	2017 	1157 	2017 	44 	53 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 	279 210 	170 180 225 	279 210 	170 180 225 	53 53 	53 53 53 
ENST00000366582 	ENST00000323938 	8390 	1712 	8391 	1712 	52 	51 
ENST00000357721 	ENST00000542781 ENST00000535408 	5327 	705 709 	5327 	705 709 	53 	53 53 
ENST00000549832 ENST00000366847 ENST00000225428 ENST00000566492 ENST00000368847 ENST00000361677 ENST00000506037 ENST00000360737 ENST00000446231 ENST00000565324 ENST00000389467 ENST00000592115 ENST00000557255 	ENST00000327794 	43 7069 2748 71 5517 2234 421 2152 13072 12329 13025 338 3318 	7489 	43 7069 2748 71 5517 2234 421 2152 13072 12329 13025 338 3318 	7505 	52 52 52 52 52 52 52 52 52 52 52 52 52 	34 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	2283 2184 1938 	171 300 	2283 2184 1938 	171 300 	53 53 53 	53 53 
ENST00000314675 	ENST00000319041 	2116 	624 	2116 	624 	51 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	349 	77 20 	349 	77 20 	51 	52 52 
ENST00000508814 	ENST00000510210 ENST00000512493 ENST00000510019 	280 	194 204 249 	280 	194 204 249 	53 	52 52 52 
ENST00000427908 	ENST00000567272 ENST00000403549 	1274 	590 438 	1275 	595 443 	50 	48 48 
ENST00000445485 ENST00000479583 ENST00000343295 ENST00000334256 ENST00000468061 ENST00000465995 ENST00000515303 ENST00000535581 ENST00000561137 	ENST00000367113 	1183 1664 2190 7925 1692 1560 408 3303 1319 	429 	1183 1664 2190 7925 1692 1560 408 3303 1319 	429 	31 31 31 31 31 31 31 31 31 	52 
ENST00000545087 	ENST00000591510 	2029 	84 	2029 	84 	37 	53 
ENST00000587309 	ENST00000333461 ENST00000584501 ENST00000249700 ENST00000473248 ENST00000264234 ENST00000460625 ENST00000292853 ENST00000509137 	3568 	2375 1969 7865 9 1622 1453 1622 1551 	3568 	2375 1969 7865 9 1622 1453 1622 1551 	53 	53 53 53 53 53 53 53 53 
ENST00000361681 	ENST00000361567 	392 	1744 	392 	1744 	53 	52 
ENST00000361681 	ENST00000361567 ENST00000511037 	350 	1768 1768 	350 	1768 1768 	52 	44 44 
ENST00000216254 ENST00000396512 	ENST00000432789 	2596 2666 	1461 	2596 2666 	1461 	53 53 	53 
ENST00000511313 ENST00000504157 	ENST00000533050 ENST00000525728 ENST00000528985 ENST00000360194 	870 1771 	978 533 756 550 	870 1771 	978 533 756 550 	40 40 	53 53 53 53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4142 	81 83 	4142 	81 83 	53 	53 53 
ENST00000309733 ENST00000604015 	ENST00000566753 ENST00000476192 ENST00000497426 ENST00000474698 	7636 434 	994 7329 7321 5705 	7636 434 	994 7329 7321 5705 	31 31 	52 52 52 52 
ENST00000568369 	ENST00000568064 	4480 	1994 	4480 	1994 	52 	53 
ENST00000449131 	ENST00000492727 	4177 	82 	4177 	82 	53 	52 
ENST00000258080 ENST00000352222 ENST00000484352 	ENST00000409549 	2241 1337 1674 	2722 	2244 1340 1677 	2722 	50 50 50 	52 
ENST00000600820 ENST00000597695 ENST00000595607 ENST00000315849 ENST00000522936 ENST00000517381 ENST00000264968 ENST00000393487 	ENST00000485556 	3361 1782 2123 1853 58 58 3266 3216 	1891 	3361 1782 2123 1853 58 58 3266 3216 	1891 	53 53 53 53 53 53 53 53 	39 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3759 	107 105 247 	3759 	107 105 247 	52 	53 53 53 
ENST00000514253 	ENST00000511844 	510 	80 	510 	80 	53 	53 
ENST00000598758 	ENST00000599719 	457 	1409 	457 	1409 	53 	53 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4130 	53 72 74 53 	4130 	53 72 74 53 	53 	53 53 53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	108 67 	482 	108 67 	53 	51 51 
ENST00000604922 	ENST00000251038 ENST00000302216 ENST00000556945 ENST00000557607 ENST00000555755 ENST00000393514 ENST00000336693 ENST00000556000 ENST00000318308 ENST00000555900 ENST00000406216 ENST00000554020 ENST00000359301 	259 	1997 1468 1503 1309 1853 1697 1452 1519 813 1190 702 307 1604 	259 	1997 1468 1503 1309 1853 1697 1452 1519 813 1190 702 307 1604 	52 	52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000592379 	ENST00000475608 	153 	6 	153 	6 	53 	52 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 ENST00000511844 	278 209 	136 146 191 150 	278 209 	136 146 191 150 	53 53 	43 43 43 43 
ENST00000517749 	ENST00000520733 ENST00000524128 	282 	224 475 	282 	224 475 	53 	53 53 
ENST00000508814 ENST00000514253 	ENST00000510210 ENST00000512493 ENST00000510019 	283 214 	155 165 210 	283 214 	155 165 210 	53 53 	53 53 53 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4149 	45 66 45 	4149 	45 66 45 	52 	52 52 52 
ENST00000446425 ENST00000309033 	ENST00000472961 	1742 1524 	111 	1742 1524 	128 	36 36 	34 
ENST00000449131 	ENST00000498161 ENST00000450676 ENST00000599364 	4144 	45 66 45 	4148 	45 66 45 	49 	52 52 52 
ENST00000595283 	ENST00000525222 	84 	2628 	84 	2628 	52 	51 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	171 130 	484 	171 130 	53 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	96 94 236 	3744 	96 94 236 	53 	53 53 53 
ENST00000419932 	ENST00000490882 ENST00000295956 ENST00000358537 ENST00000429972 ENST00000493452 ENST00000481470 ENST00000348383 ENST00000357272 ENST00000419752 	154 	5606 5513 5441 5480 4926 1616 5513 5513 4808 	154 	5606 5513 5441 5480 4926 1616 5513 5513 4808 	36 	52 52 52 52 52 52 52 52 52 
ENST00000558583 ENST00000489060 ENST00000310613 ENST00000474698 	ENST00000538183 ENST00000392857 	6114 2005 3212 5021 	8344 4742 	6114 2005 3212 5021 	8344 4742 	52 52 52 52 	53 53 
ENST00000449131 	ENST00000492727 	4177 	102 	4177 	102 	53 	53 
ENST00000427908 	ENST00000436998 ENST00000425312 ENST00000567272 ENST00000403549 	1812 	299 299 451 299 	1812 	299 299 451 299 	50 	53 53 53 53 
ENST00000392385 ENST00000566753 	ENST00000476192 ENST00000558583 ENST00000497426 	610 1663 	4911 6003 4911 	614 1667 	4911 6003 4911 	49 49 	51 51 51 
ENST00000449131 	ENST00000492727 ENST00000450676 	4164 	80 82 	4164 	80 82 	51 	53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	3006 2907 2661 	186 315 	3006 2907 2661 	186 315 	53 53 53 	49 49 
ENST00000530096 	ENST00000253692 	780 	928 	782 	947 	31 	31 
ENST00000392385 	ENST00000481729 	408 	461 	408 	475 	49 	37 
ENST00000594245 ENST00000421670 	ENST00000299381 	366 177 	0 	366 177 	0 	53 53 	53 
ENST00000361681 	ENST00000361567 	309 	1745 	309 	1745 	53 	53 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	307 238 	183 142 	307 238 	183 142 	53 53 	51 51 
ENST00000361681 	ENST00000361567 	472 	1707 	472 	1707 	53 	52 
ENST00000314675 	ENST00000319041 	2089 	625 	2089 	644 	48 	33 
ENST00000314675 	ENST00000319041 	2078 	599 	2078 	599 	52 	52 
ENST00000309733 ENST00000223073 	ENST00000392857 	6163 15214 	5729 	6163 15214 	5729 	53 53 	53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3010 2911 2665 	310 	3010 2911 2665 	310 	53 53 53 	53 
ENST00000510657 	ENST00000373191 	387 	13122 	406 	13124 	31 	31 
ENST00000437822 	ENST00000445208 ENST00000429084 ENST00000359593 ENST00000422582 ENST00000445295 	2206 	1626 1744 1723 1751 619 	2206 	1626 1744 1723 1751 619 	53 	53 53 53 53 53 
ENST00000335727 ENST00000301923 ENST00000454349 	ENST00000319974 	13767 11793 14114 	2464 	13770 11796 14117 	2464 	31 31 31 	52 
ENST00000508814 	ENST00000510019 	293 	255 	293 	255 	53 	52 
ENST00000478631 ENST00000371513 	ENST00000571329 ENST00000526717 	1327 1154 	604 604 	1327 1154 	604 604 	52 52 	52 52 
ENST00000320934 	ENST00000529622 	4564 	405 	4565 	405 	52 	53 
ENST00000467136 	ENST00000496645 ENST00000493195 ENST00000476102 ENST00000361509 ENST00000368094 ENST00000567255 	3790 	3476 4118 3801 3909 3957 646 	3811 	3477 4119 3802 3910 3958 647 	32 	37 37 37 37 37 37 
ENST00000449131 	ENST00000498161 ENST00000492727 ENST00000450676 ENST00000599364 	4166 	50 69 71 50 	4166 	70 89 91 70 	52 	33 33 33 33 
ENST00000373059 ENST00000401070 ENST00000401069 	ENST00000514057 	1951 2083 2530 	353 	1951 2083 2530 	353 	51 51 51 	53 
ENST00000321394 	ENST00000224237 ENST00000487938 ENST00000469543 ENST00000544301 	2087 	1424 1828 2222 1692 	2087 	1424 1828 2222 1692 	52 	53 53 53 53 
ENST00000439231 	ENST00000227507 	344 	2570 	347 	2570 	33 	52 
ENST00000493624 	ENST00000547865 	756 	1411 	772 	1413 	31 	51 
ENST00000418655 	ENST00000331789 ENST00000425660 ENST00000462494 	853 	1354 1287 1687 	866 	1354 1287 1687 	37 	53 53 53 
ENST00000412368 ENST00000567120 ENST00000565302 ENST00000568689 ENST00000609261 ENST00000568313 ENST00000293882 ENST00000454700 	ENST00000566181 	1438 1605 1402 1426 1333 758 1528 1438 	456 	1438 1605 1402 1426 1333 758 1528 1438 	456 	53 53 53 53 53 53 53 53 	53 
ENST00000310160 ENST00000337227 ENST00000532312 	ENST00000249700 ENST00000549578 ENST00000517637 ENST00000322122 ENST00000373839 ENST00000373836 ENST00000255266 ENST00000508173 ENST00000564785 ENST00000267622 ENST00000574224 ENST00000569988 	2782 2588 1208 	7857 1297 233 1926 3146 3129 4528 4592 4555 8603 1421 1475 	2782 2588 1208 	7857 1297 233 1926 3146 3129 4528 4592 4555 8603 1421 1475 	52 52 52 	53 53 53 53 53 53 53 53 53 53 53 53 
ENST00000418543 ENST00000546754 ENST00000548381 ENST00000553179 	ENST00000597961 	234 232 220 204 	88 	234 232 220 204 	88 	53 53 53 53 	53 
ENST00000307980 ENST00000535644 	ENST00000358239 	1993 1497 	983 	1993 1497 	983 	53 53 	53 
ENST00000570769 ENST00000407479 ENST00000246949 ENST00000570664 	ENST00000575707 	2678 1121 4146 474 	107 	2678 1121 4146 474 	107 	53 53 53 53 	52 
ENST00000216378 ENST00000530553 	ENST00000392563 ENST00000392564 ENST00000392562 ENST00000316804 ENST00000316615 	307 259 	1258 1589 2136 1655 1588 	313 265 	1258 1589 2136 1655 1588 	35 35 	53 53 53 53 53 
ENST00000463943 	ENST00000335179 ENST00000545072 	349 	77 20 	349 	77 20 	51 	52 52 
ENST00000560723 	ENST00000559556 	415 	849 	415 	849 	53 	53 
ENST00000514253 	ENST00000510019 ENST00000511844 	485 	107 66 	485 	107 66 	52 	52 52 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3755 	107 105 247 	3755 	107 105 247 	52 	53 53 53 
ENST00000286307 	ENST00000361033 ENST00000484452 ENST00000340625 ENST00000356980 ENST00000256474 ENST00000345392 ENST00000570752 ENST00000259253 ENST00000375990 ENST00000281830 ENST00000604125 ENST00000601613 ENST00000366111 	2815 	3284 737 1025 2200 2498 1595 144 8325 8609 2612 2282 789 44 	2815 	3302 755 1043 2218 2516 1613 162 8343 8627 2630 2300 807 62 	36 	35 35 35 35 35 35 35 35 35 35 35 35 35 
ENST00000514253 	ENST00000511844 	507 	97 	507 	97 	52 	53 
ENST00000592379 	ENST00000475608 	79 	25 	79 	25 	53 	51 
ENST00000592379 	ENST00000475608 	79 	34 	79 	34 	50 	53 
ENST00000449131 	ENST00000533138 ENST00000425761 ENST00000406984 ENST00000466086 ENST00000413500 ENST00000434913 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 	3471 	786 337 170 203 201 342 542 342 374 342 	3471 	786 337 170 203 201 342 542 342 374 342 	50 	52 52 52 52 52 52 52 52 52 52 
ENST00000514253 	ENST00000511844 	509 	66 	509 	66 	53 	52 
ENST00000526743 	ENST00000534706 	1853 	664 	1853 	664 	53 	51 
ENST00000599809 ENST00000601706 ENST00000569239 ENST00000551364 ENST00000412930 	ENST00000395148 ENST00000333139 ENST00000446232 	114 120 1482 114 114 	3560 1018 886 	114 120 1482 114 114 	3560 1018 886 	53 53 53 53 53 	53 53 53 
ENST00000536784 ENST00000541505 ENST00000227880 ENST00000544101 ENST00000543406 	ENST00000540112 	369 1720 2028 466 4499 	1920 	380 1731 2039 477 4510 	1920 	42 42 42 42 42 	53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3490 	798 331 349 215 213 554 354 386 354 331 	3490 	798 331 349 215 213 554 354 386 354 331 	53 	53 53 53 53 53 53 53 53 53 53 
