ENST00000558583 ENST00000310613 	ENST00000334567 ENST00000586722 ENST00000458297 ENST00000550977 ENST00000522378 ENST00000397418 	6104 3202 	1023 1377 1295 1617 2226 2226 	6117 3215 	1023 1377 1295 1617 2226 2226 	40 40 	53 53 53 53 53 53 
ENST00000315392 	ENST00000594216 	2673 	793 	2673 	793 	51 	53 
ENST00000357232 	ENST00000371817 	4226 	2589 	4239 	2589 	40 	50 
ENST00000373510 	ENST00000409223 ENST00000305959 	6744 	3125 3125 	6755 	3131 3131 	36 	31 31 
ENST00000341509 ENST00000537670 ENST00000565875 	ENST00000535141 ENST00000565627 ENST00000567816 ENST00000569489 	1722 1416 1180 	2034 1749 227 77 	1722 1416 1180 	2034 1749 227 77 	53 53 53 	53 53 53 53 
ENST00000436816 	ENST00000574213 	3239 	122 	3243 	132 	33 	32 
ENST00000369291 	ENST00000262415 	6966 	5454 	6983 	5454 	36 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	293 	1116 1133 	293 	53 53 	52 
ENST00000463943 	ENST00000335179 ENST00000545072 	400 	78 21 	400 	78 21 	52 	52 52 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3760 	209 91 89 231 209 	3760 	209 91 89 231 209 	52 	53 53 53 53 53 
ENST00000403581 	ENST00000493542 	488 	461 	488 	461 	35 	53 
ENST00000463943 	ENST00000335179 ENST00000545072 	415 	77 20 	415 	77 20 	51 	52 52 
ENST00000463943 	ENST00000335179 ENST00000545072 	376 	83 26 	376 	83 26 	53 	50 50 
ENST00000601871 	ENST00000484412 ENST00000442730 ENST00000494862 	1431 	543 580 274 	1431 	543 580 274 	53 	53 53 53 
ENST00000551193 	ENST00000549182 	300 	377 	300 	377 	53 	53 
ENST00000546837 ENST00000357606 ENST00000317287 ENST00000317269 	ENST00000243045 ENST00000552672 ENST00000550836 ENST00000548974 ENST00000546645 	344 1746 1895 1660 	373 159 73 269 822 	345 1747 1896 1661 	373 159 73 269 822 	33 33 33 33 	52 52 52 52 52 
ENST00000508814 ENST00000514253 	ENST00000510019 ENST00000511844 	307 238 	105 64 	307 238 	105 64 	53 53 	50 50 
ENST00000314675 	ENST00000319041 	2079 	630 	2079 	630 	51 	53 
ENST00000435225 	ENST00000398558 ENST00000589157 	10 	1440 425 	15 	1440 425 	48 	53 53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3773 	87 85 227 	3773 	87 85 227 	53 	53 53 53 
ENST00000372420 ENST00000372431 ENST00000354050 ENST00000477313 ENST00000542937 	ENST00000372459 	1463 1676 1525 2191 2191 	1851 	1469 1682 1531 2197 2197 	1851 	46 46 46 46 46 	53 
ENST00000264638 ENST00000591662 	ENST00000421182 ENST00000323926 ENST00000336916 ENST00000357867 ENST00000354785 ENST00000446046 ENST00000443816 ENST00000432072 ENST00000356005 ENST00000426059 ENST00000359671 ENST00000346544 ENST00000345488 ENST00000357009 	3387 3285 	498 499 499 499 603 499 504 498 499 504 499 499 499 499 	3387 3285 	498 499 499 499 603 499 504 498 499 504 499 499 499 499 	53 53 	50 50 50 50 50 50 50 50 50 50 50 50 50 50 
ENST00000533035 ENST00000308110 ENST00000524647 ENST00000531905 ENST00000530928 ENST00000533519 ENST00000529742 	ENST00000527277 ENST00000531972 ENST00000526628 ENST00000526911 ENST00000531645 ENST00000528176 ENST00000307998 ENST00000524408 	2073 2286 1733 3315 1708 588 627 	443 1713 2178 378 580 1410 1940 432 	2073 2286 1733 3315 1708 588 627 	443 1713 2178 378 580 1410 1940 432 	52 52 52 52 52 52 52 	53 53 53 53 53 53 53 53 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000435241 ENST00000425761 ENST00000517577 ENST00000492727 ENST00000450676 ENST00000599364 	3490 	826 359 382 377 383 384 382 359 	3490 	826 359 382 377 383 384 382 359 	53 	53 53 53 53 53 53 53 53 
ENST00000371486 	ENST00000483739 	3007 	1807 	3007 	1807 	53 	52 
ENST00000361681 	ENST00000361567 	442 	1608 	442 	1608 	53 	50 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 ENST00000561048 	3000 2901 2655 	49 64 	3000 2901 2655 	49 64 	53 53 53 	53 53 
ENST00000469767 ENST00000250111 ENST00000604225 ENST00000577127 ENST00000572089 	ENST00000377036 	1082 2277 1082 1082 1082 	1319 	1082 2277 1082 1082 1082 	1319 	53 53 53 53 53 	52 
ENST00000550127 ENST00000580201 	ENST00000225724 ENST00000525437 	197 99 	1439 1826 	197 99 	1445 1832 	31 31 	47 47 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3052 2953 2707 	298 	3052 2953 2707 	298 	45 45 45 	41 
ENST00000380496 ENST00000374375 	ENST00000578252 ENST00000515138 ENST00000460362 ENST00000256474 ENST00000345392 ENST00000477859 ENST00000331006 ENST00000560084 ENST00000560024 ENST00000561440 ENST00000559273 ENST00000562029 ENST00000372806 ENST00000499879 ENST00000459629 ENST00000398475 ENST00000575527 ENST00000552858 	3471 1450 	541 2145 153 2460 1557 4704 1048 477 507 477 507 88 4638 4421 6180 2132 2132 28 	3478 1457 	541 2145 153 2460 1557 4704 1048 477 507 477 507 88 4638 4421 6180 2132 2132 28 	32 32 	31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 
ENST00000427288 	ENST00000286713 	1643 	1441 	1643 	1449 	31 	31 
ENST00000295851 	ENST00000237837 	8688 	1231 	8688 	1240 	53 	34 
ENST00000463943 	ENST00000335179 ENST00000545072 	351 	79 22 	351 	79 22 	53 	51 51 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1152 1169 	218 169 	1152 1169 	218 169 	53 53 	53 53 
ENST00000595894 	ENST00000603271 	406 	509 	406 	509 	51 	52 
ENST00000527958 ENST00000566042 	ENST00000463390 	2052 888 	2707 	2054 890 	2707 	34 34 	52 
ENST00000595956 	ENST00000468120 ENST00000496289 	49 	431 413 	49 	431 413 	53 	53 53 
ENST00000592379 	ENST00000475608 	72 	20 	72 	20 	53 	52 
ENST00000430252 ENST00000540275 	ENST00000361866 ENST00000463060 ENST00000498614 	418 418 	2245 530 365 	418 418 	2245 530 365 	51 51 	53 53 53 
ENST00000361681 	ENST00000361567 ENST00000511037 	392 	1775 1775 	392 	1775 1775 	53 	37 37 
ENST00000590045 	ENST00000467929 ENST00000405575 ENST00000467586 ENST00000357231 ENST00000411744 	2455 	1965 1970 2156 1687 1865 	2455 	1965 1970 2156 1687 1865 	52 	53 53 53 53 53 
ENST00000508814 ENST00000514253 	ENST00000510019 	300 231 	236 	300 231 	236 	53 53 	53 
ENST00000449131 	ENST00000301488 ENST00000525402 ENST00000531178 	3494 	1149 1478 817 	3494 	1149 1478 817 	53 	53 53 53 
ENST00000314675 	ENST00000319041 	2104 	640 	2104 	640 	50 	53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	352 	649 658 662 544 	359 	649 658 662 544 	46 	53 53 53 53 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	350 	663 672 676 558 	359 	663 672 676 558 	44 	51 51 51 51 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2989 2890 2644 	239 	2989 2890 2644 	239 	53 53 53 	52 
ENST00000391701 	ENST00000382247 	1888 	2023 	1888 	2041 	42 	34 
ENST00000538183 ENST00000310613 	ENST00000550977 ENST00000604604 	7881 3562 	1162 273 	7881 3562 	1162 273 	53 53 	53 53 
ENST00000242109 	ENST00000511912 ENST00000359478 ENST00000433590 	2826 	3026 1984 1981 	2833 	3029 1987 1984 	34 	38 38 38 
ENST00000314675 	ENST00000319041 	2104 	635 	2104 	635 	50 	53 
ENST00000514253 	ENST00000511844 	507 	135 	507 	135 	48 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	275 	1116 1133 	275 	53 53 	53 
ENST00000514253 	ENST00000510019 ENST00000429775 	443 	215 40 	443 	215 40 	53 	53 53 
ENST00000361789 	ENST00000380985 ENST00000502464 	917 	4308 4001 	917 	4315 4008 	53 	46 46 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3760 	88 86 228 	3760 	88 86 228 	52 	53 53 53 
ENST00000314675 	ENST00000319041 	2089 	631 	2089 	631 	53 	53 
ENST00000381661 	ENST00000381611 ENST00000540494 	1988 	1556 1486 	1988 	1556 1486 	53 	53 53 
ENST00000321826 	ENST00000590158 	1610 	911 	1610 	911 	53 	53 
ENST00000427908 	ENST00000567272 ENST00000403549 	1178 	578 426 	1178 	595 443 	53 	36 36 
ENST00000514253 	ENST00000510019 ENST00000511844 	482 	173 132 	482 	173 132 	53 	36 36 
ENST00000361681 ENST00000506002 	ENST00000361567 	424 424 	1729 	424 424 	1729 	52 52 	52 
ENST00000361681 	ENST00000361567 	469 	1710 	469 	1710 	53 	53 
ENST00000335185 	ENST00000525782 ENST00000524711 ENST00000525054 	3751 	1375 1492 315 	3751 	1375 1492 315 	52 	53 53 53 
ENST00000399827 ENST00000399833 ENST00000399825 ENST00000399830 ENST00000474400 ENST00000399829 ENST00000383294 ENST00000457923 ENST00000446463 ENST00000449776 ENST00000427763 ENST00000474349 ENST00000446323 ENST00000425204 ENST00000452393 ENST00000433376 ENST00000415173 ENST00000455898 ENST00000479245 ENST00000451833 ENST00000417388 ENST00000433896 ENST00000416363 ENST00000424030 ENST00000439774 ENST00000496883 ENST00000440840 ENST00000430777 ENST00000414520 ENST00000414933 ENST00000444369 ENST00000456421 ENST00000488004 ENST00000454929 ENST00000456679 ENST00000395496 ENST00000375107 ENST00000395499 ENST00000375104 ENST00000490711 ENST00000395497 ENST00000336984 ENST00000434614 ENST00000452427 ENST00000430226 ENST00000425572 ENST00000490267 ENST00000436149 ENST00000448196 	ENST00000465052 	2031 2162 2424 1945 2376 2096 1949 2031 2162 2424 1945 2376 2096 1949 2031 2162 2424 1945 2376 2096 1949 2031 2162 2424 1945 2376 2096 1949 2031 2162 2424 1945 2376 2096 1949 2031 2162 2424 1945 2376 2096 1949 2031 2162 2424 1945 2376 2096 1949 	2699 	2033 2164 2426 1947 2378 2098 1951 2033 2164 2426 1947 2378 2098 1951 2033 2164 2426 1947 2378 2098 1951 2033 2164 2426 1947 2378 2098 1951 2033 2164 2426 1947 2378 2098 1951 2033 2164 2426 1947 2378 2098 1951 2033 2164 2426 1947 2378 2098 1951 	2699 	50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 	53 
ENST00000320934 	ENST00000392951 ENST00000525531 ENST00000529622 	4417 	624 760 349 	4417 	624 760 349 	51 	53 53 53 
ENST00000406213 	ENST00000296255 ENST00000497289 	1404 	1720 1732 	1404 	1720 1732 	51 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	256 	1116 1133 	256 	53 53 	52 
ENST00000592379 	ENST00000475608 	72 	7 	72 	7 	53 	51 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3769 	103 101 243 	3770 	103 101 243 	52 	52 52 52 
ENST00000449131 	ENST00000498161 ENST00000466086 ENST00000413500 ENST00000517577 ENST00000599364 	3760 	213 95 93 235 213 	3760 	213 95 93 235 213 	52 	51 51 51 51 51 
ENST00000514253 	ENST00000510019 ENST00000511844 	443 	122 81 	443 	122 81 	53 	50 50 
ENST00000372037 ENST00000312814 ENST00000487239 ENST00000500728 	ENST00000578502 ENST00000397732 ENST00000428311 ENST00000370331 ENST00000540033 ENST00000587309 	4746 5143 576 7615 	377 4034 4004 4663 4629 3157 	4746 5143 576 7615 	390 4047 4017 4676 4642 3170 	37 37 37 37 	40 40 40 40 40 40 
ENST00000403305 ENST00000249079 ENST00000403026 	ENST00000360128 	853 901 705 	1722 	855 903 707 	1722 	51 51 51 	51 
ENST00000412425 	ENST00000541588 	5 	562 	5 	562 	52 	52 
ENST00000459812 ENST00000468814 ENST00000493809 ENST00000480383 ENST00000476214 ENST00000422437 ENST00000483565 	ENST00000477154 ENST00000476469 ENST00000475368 ENST00000475878 ENST00000469628 ENST00000476663 ENST00000469621 	2521 2521 2521 2521 2518 2521 2521 	668 668 668 668 668 668 668 	2521 2521 2521 2521 2518 2521 2521 	668 668 668 668 668 668 668 	53 53 53 53 53 53 53 	53 53 53 53 53 53 53 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000561048 	3007 2908 2662 	258 	3007 2908 2662 	258 	53 53 53 	52 
ENST00000514253 	ENST00000511844 	495 	101 	495 	101 	53 	53 
ENST00000564419 	ENST00000570054 	306 	810 	306 	810 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	102 100 242 	3744 	102 100 242 	53 	53 53 53 
ENST00000514253 	ENST00000510019 	484 	218 	484 	218 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000517577 	3744 	99 97 239 	3744 	99 97 239 	53 	53 53 53 
ENST00000449131 	ENST00000492727 ENST00000450676 	4144 	87 89 	4144 	87 89 	53 	53 53 
ENST00000570780 ENST00000391950 	ENST00000520547 ENST00000441206 	1122 1139 	198 149 	1122 1139 	198 149 	53 53 	50 50 
ENST00000262866 	ENST00000558530 	2646 	721 	2646 	721 	53 	53 
ENST00000335185 	ENST00000525054 	3719 	502 	3719 	502 	34 	52 
ENST00000382021 ENST00000303525 ENST00000371655 ENST00000295065 ENST00000489047 ENST00000293272 ENST00000366113 ENST00000512264 ENST00000410026 ENST00000396667 ENST00000367942 ENST00000603197 ENST00000605140 ENST00000426371 	ENST00000461837 ENST00000412144 ENST00000383198 ENST00000548408 ENST00000495024 ENST00000383067 ENST00000383066 ENST00000551943 ENST00000434618 ENST00000467834 ENST00000374568 ENST00000374572 ENST00000480059 ENST00000437315 ENST00000417059 	3267 3171 1776 3697 3344 887 766 585 9801 11522 3066 887 766 1082 	1535 2328 2410 1531 1532 2329 2411 2150 2411 1532 2329 2411 1532 2329 2411 	3267 3171 1776 3697 3344 887 766 585 9801 11522 3066 887 766 1082 	1535 2328 2410 1531 1532 2329 2411 2150 2411 1532 2329 2411 1532 2329 2411 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000514253 	ENST00000511844 	510 	105 	510 	105 	53 	52 
ENST00000534030 	ENST00000526693 ENST00000524748 ENST00000527341 ENST00000530320 	351 	645 654 658 540 	359 	645 654 658 540 	44 	52 52 52 52 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1118 1135 	170 208 	1118 1135 	170 208 	53 53 	50 50 
ENST00000526743 	ENST00000528784 ENST00000534706 ENST00000526711 	1084 	724 693 591 	1084 	724 693 591 	52 	53 53 53 
ENST00000449131 	ENST00000434913 ENST00000492727 ENST00000401830 ENST00000430907 ENST00000450676 	4134 	112 110 312 112 112 	4134 	112 110 312 112 112 	53 	53 53 53 53 53 
ENST00000602397 ENST00000375279 ENST00000492345 ENST00000359606 ENST00000346541 ENST00000397800 ENST00000463896 ENST00000474345 	ENST00000494201 ENST00000595191 	166 4974 5160 4631 5099 4811 1078 338 	418 677 	166 4974 5160 4631 5099 4811 1078 338 	418 677 	34 34 34 34 34 34 34 34 	40 40 
ENST00000427908 	ENST00000323926 ENST00000336916 ENST00000354785 ENST00000492816 ENST00000443816 ENST00000356005 ENST00000456923 ENST00000461974 ENST00000485567 ENST00000359671 	1280 	6534 6261 6638 7405 5996 5991 2146 128 85 6261 	1280 	6534 6261 6638 7405 5996 5991 2146 128 85 6261 	53 	52 52 52 52 52 52 52 52 52 52 
ENST00000355673 ENST00000547545 ENST00000547844 ENST00000431731 	ENST00000548249 	4105 1712 212 3415 	1934 	4105 1712 212 3415 	1934 	53 53 53 53 	52 
ENST00000524317 ENST00000324774 ENST00000392473 ENST00000428234 	ENST00000586449 	732 83 83 291 	292 	732 83 83 295 	307 	32 32 32 32 	34 
ENST00000314675 	ENST00000319041 	2110 	381 	2111 	381 	52 	53 
ENST00000321826 	ENST00000590158 	1610 	914 	1610 	914 	53 	51 
ENST00000361762 	ENST00000381095 ENST00000275857 ENST00000381093 	4764 	3665 3501 3561 	4772 	3665 3501 3561 	32 	53 53 53 
ENST00000361681 	ENST00000361567 	491 	1701 	491 	1701 	34 	52 
ENST00000592379 	ENST00000582736 ENST00000437246 	44 	86 71 	44 	86 71 	52 	52 52 
ENST00000541436 	ENST00000546204 ENST00000539756 	1669 	290 724 	1669 	290 724 	53 	53 53 
ENST00000496484 	ENST00000406272 	273 	1605 	273 	1605 	53 	53 
ENST00000547992 	ENST00000552713 ENST00000549606 ENST00000553237 ENST00000546489 ENST00000540325 	1615 	443 331 819 714 819 	1615 	443 331 819 714 819 	51 	53 53 53 53 53 
ENST00000551944 ENST00000550977 ENST00000604604 	ENST00000379558 ENST00000295269 ENST00000309733 ENST00000582452 ENST00000456523 ENST00000483793 ENST00000462714 ENST00000223073 ENST00000282074 ENST00000564458 ENST00000564795 	3315 2178 1287 	6574 4047 6379 360 5143 3579 1519 15421 1266 1071 1071 	3315 2178 1287 	6574 4047 6379 360 5143 3579 1519 15421 1266 1071 1071 	45 45 45 	52 52 52 52 52 52 52 52 52 52 52 
ENST00000314675 	ENST00000319041 	2113 	578 	2114 	578 	52 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000434913 ENST00000517577 	3776 	97 95 236 237 	3776 	97 95 236 237 	52 	53 53 53 53 
ENST00000510760 ENST00000591037 	ENST00000424707 	1786 1495 	98 	1786 1495 	98 	45 45 	32 
ENST00000557789 ENST00000325881 ENST00000560997 	ENST00000558492 	2285 2186 1940 	241 	2285 2186 1940 	241 	53 53 53 	53 
ENST00000321826 	ENST00000590158 	1609 	961 	1609 	961 	53 	33 
ENST00000534030 	ENST00000530320 	415 	529 	415 	529 	53 	51 
ENST00000508814 	ENST00000510210 ENST00000512493 	279 	221 231 	279 	221 231 	53 	53 53 
ENST00000592379 	ENST00000582736 	46 	125 	46 	125 	53 	53 
ENST00000275767 	ENST00000337138 ENST00000394997 ENST00000323441 ENST00000557538 ENST00000539097 	312 	1638 1641 1401 1674 1674 	312 	1638 1641 1401 1674 1674 	53 	53 53 53 53 53 
ENST00000554081 	ENST00000557324 	3071 	550 	3071 	550 	31 	37 
ENST00000463943 	ENST00000335179 ENST00000545072 	287 	80 23 	287 	80 23 	53 	50 50 
ENST00000570780 ENST00000391950 	ENST00000520547 	1118 1135 	275 	1118 1135 	275 	53 53 	53 
ENST00000409887 	ENST00000332262 ENST00000543253 ENST00000535209 	2878 	1972 2035 1947 	2878 	1972 2035 1947 	53 	34 34 34 
ENST00000357214 	ENST00000420908 ENST00000558577 ENST00000547716 ENST00000558650 ENST00000559567 ENST00000558477 ENST00000559952 ENST00000560698 ENST00000561184 ENST00000559668 ENST00000400817 ENST00000316967 ENST00000557980 ENST00000557881 ENST00000560756 ENST00000560811 ENST00000560405 ENST00000357253 	767 	178 230 230 184 252 178 230 230 184 116 219 230 184 230 252 262 252 230 	767 	178 230 230 184 252 178 230 230 184 116 219 230 184 230 252 262 252 230 	53 	52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 52 
ENST00000361681 	ENST00000361567 ENST00000511037 	392 	1780 1780 	392 	1780 1780 	53 	32 32 
ENST00000361681 	ENST00000361567 	333 	1587 	333 	1587 	43 	52 
ENST00000463943 	ENST00000507623 ENST00000380638 	408 	55 55 	408 	58 58 	53 	48 48 
ENST00000449131 	ENST00000492727 ENST00000450676 	4144 	77 79 	4144 	77 79 	53 	53 53 
ENST00000514253 	ENST00000510019 ENST00000511844 	484 	137 96 	484 	137 96 	53 	53 53 
ENST00000596184 	ENST00000312026 ENST00000595559 ENST00000536263 	1237 	1016 1028 1208 	1237 	1016 1028 1208 	43 	53 53 53 
ENST00000368376 ENST00000316721 ENST00000424959 ENST00000609421 ENST00000481771 ENST00000495589 ENST00000495492 ENST00000440904 ENST00000573136 ENST00000573868 	ENST00000572338 ENST00000574670 ENST00000571897 ENST00000368373 ENST00000327247 ENST00000464536 ENST00000459805 ENST00000486869 ENST00000368374 ENST00000486197 ENST00000473223 	1355 1164 836 807 2302 773 534 686 685 686 	2153 2264 437 2153 2264 437 2795 1761 1750 1701 2589 	1355 1164 836 807 2302 773 534 686 685 686 	2153 2264 437 2153 2264 437 2795 1761 1750 1701 2589 	53 53 53 53 53 53 53 53 53 53 	53 53 53 53 53 53 53 53 53 53 53 
ENST00000482342 	ENST00000379170 	106 	3743 	106 	3743 	52 	53 
ENST00000415949 	ENST00000381578 	33 	2995 	33 	2998 	53 	33 
ENST00000314675 	ENST00000319041 	2117 	524 	2118 	524 	52 	53 
ENST00000260649 	ENST00000444696 ENST00000420756 	2817 	130 90 	2817 	130 90 	53 	38 38 
ENST00000514253 	ENST00000510019 	482 	211 	482 	211 	53 	53 
ENST00000514253 	ENST00000510019 	484 	200 	484 	200 	53 	52 
ENST00000526743 	ENST00000534706 	1852 	672 	1852 	672 	53 	53 
ENST00000449131 	ENST00000466086 ENST00000413500 ENST00000434913 ENST00000517577 	3779 	98 96 237 238 	3779 	98 96 237 238 	53 	53 53 53 53 
ENST00000343290 	ENST00000554660 ENST00000381736 ENST00000324774 ENST00000392473 	134 	866 2650 242 242 	151 	866 2650 242 242 	36 	37 37 37 37 
ENST00000559192 	ENST00000331615 	3373 	2696 	3383 	2706 	34 	32 
ENST00000242505 	ENST00000469143 ENST00000557141 	4360 	33 372 	4360 	33 372 	53 	50 50 
ENST00000570780 ENST00000391950 	ENST00000355068 ENST00000575001 	1149 1166 	201 239 	1149 1166 	201 239 	52 52 	52 52 
ENST00000551654 	ENST00000361085 ENST00000479469 ENST00000477790 ENST00000351773 	17 	445 915 144 930 	32 	445 915 144 930 	36 	53 53 53 53 
ENST00000592379 	ENST00000582736 	41 	108 	41 	108 	53 	53 
ENST00000570780 ENST00000391950 	ENST00000520547 	1116 1133 	291 	1116 1133 	291 	53 53 	53 
ENST00000508814 	ENST00000510019 	308 	253 	308 	253 	53 	53 
ENST00000592379 	ENST00000582736 	40 	125 	40 	125 	53 	53 
ENST00000308511 	ENST00000519863 	4743 	442 	4743 	442 	53 	53 
ENST00000592379 	ENST00000475608 	72 	6 	72 	6 	53 	52 
ENST00000367048 ENST00000472052 ENST00000541436 	ENST00000420894 ENST00000392168 	3108 1578 1594 	1443 1652 	3108 1578 1594 	1443 1652 	52 52 52 	50 50 
ENST00000361681 ENST00000506002 	ENST00000361567 	406 406 	1749 	406 406 	1749 	52 52 	53 
ENST00000466442 ENST00000470221 ENST00000396950 	ENST00000297540 	457 1093 1780 	3466 	457 1093 1780 	3466 	53 53 53 	52 
ENST00000314675 	ENST00000319041 	2117 	609 	2118 	609 	52 	53 
ENST00000314675 	ENST00000319041 	2117 	631 	2117 	631 	53 	53 
ENST00000520500 ENST00000392845 	ENST00000497558 ENST00000361121 	373 4084 	2607 2468 	373 4084 	2607 2468 	51 51 	52 52 
ENST00000449131 	ENST00000533138 ENST00000498161 ENST00000425761 ENST00000466086 ENST00000413500 ENST00000401830 ENST00000430907 ENST00000394290 ENST00000450676 ENST00000599364 	3471 	798 331 349 215 213 554 354 386 354 331 	3471 	798 331 349 215 213 554 354 386 354 331 	50 	53 53 53 53 53 53 53 53 53 53 
